

Duffing oscillator:   gamma = 0.20, omega = 1.2, alpha = -1.0, beta = 1.0, delta = 0.3
               x_0 = 1.00, xdot_0 = 0.00
 t/tau    x(t)     x_dot(t)
 19.00   0.56839   0.41273
 20.00   0.56839   0.41273
 21.00   0.56839   0.41273
 22.00   0.56839   0.41273
 23.00   0.56839   0.41273
 24.00   0.56839   0.41273
 25.00   0.56839   0.41273
 26.00   0.56839   0.41273
 27.00   0.56839   0.41273
 28.00   0.56839   0.41273
 29.00   0.56839   0.41273
 30.00   0.56839   0.41273
 31.00   0.56839   0.41273
 32.00   0.56839   0.41273
 33.00   0.56839   0.41273
 34.00   0.56839   0.41273
 35.00   0.56839   0.41273
 36.00   0.56839   0.41273
 37.00   0.56839   0.41273
 38.00   0.56839   0.41273
